episode,score_per_episode,last5_average_reward,episode_length,training_steps
185,-19.0,-20.0,966,167249
186,-21.0,-20.2,933,168182
187,-20.0,-20.2,926,169108
188,-19.0,-20.0,965,170073
189,-20.0,-19.8,941,171014
190,-20.0,-20.0,1039,172053
191,-21.0,-20.0,820,172873
192,-21.0,-20.2,764,173637
193,-20.0,-20.4,894,174531
194,-20.0,-20.4,838,175369
195,-18.0,-20.0,1039,176408
196,-21.0,-20.0,842,177250
197,-21.0,-20.0,764,178014
198,-20.0,-20.0,983,178997
199,-19.0,-19.8,997,179994
200,-21.0,-20.4,1002,180996
201,-21.0,-20.4,783,181779
202,-21.0,-20.4,824,182603
203,-21.0,-20.6,871,183474
204,-20.0,-20.8,944,184418
205,-21.0,-20.8,822,185240
206,-21.0,-20.8,764,186004
207,-20.0,-20.6,909,186913
208,-20.0,-20.4,1101,188014
209,-20.0,-20.4,842,188856
210,-19.0,-20.0,1027,189883
211,-21.0,-20.0,764,190647
212,-21.0,-20.2,880,191527
213,-21.0,-20.4,872,192399
214,-21.0,-20.6,852,193251
215,-21.0,-21.0,792,194043
216,-21.0,-21.0,884,194927
217,-21.0,-21.0,764,195691
218,-21.0,-21.0,811,196502
219,-21.0,-21.0,811,197313
220,-21.0,-21.0,826,198139
221,-21.0,-21.0,848,198987
222,-20.0,-20.8,866,199853
223,-20.0,-20.6,898,200751
224,-21.0,-20.6,921,201672
225,-21.0,-20.6,783,202455
226,-20.0,-20.4,1041,203496
227,-21.0,-20.6,764,204260
228,-21.0,-20.8,848,205108
229,-21.0,-20.8,820,205928
230,-21.0,-20.8,792,206720
231,-20.0,-20.8,842,207562
232,-21.0,-20.8,792,208354
233,-20.0,-20.6,843,209197
234,-21.0,-20.6,824,210021
235,-20.0,-20.4,960,210981
236,-21.0,-20.6,905,211886
237,-21.0,-20.6,899,212785
238,-21.0,-20.8,824,213609
239,-20.0,-20.6,870,214479
240,-21.0,-20.8,852,215331
241,-21.0,-20.8,913,216244
242,-21.0,-20.8,880,217124
243,-21.0,-20.8,884,218008
244,-21.0,-21.0,783,218791
245,-21.0,-21.0,822,219613
246,-20.0,-20.8,842,220455
247,-21.0,-20.8,826,221281
248,-21.0,-20.8,783,222064
249,-21.0,-20.8,811,222875
250,-20.0,-20.6,867,223742
251,-21.0,-20.8,854,224596
252,-20.0,-20.6,903,225499
253,-21.0,-20.6,764,226263
254,-21.0,-20.6,885,227148
255,-21.0,-20.8,783,227931
256,-21.0,-20.8,764,228695
257,-20.0,-20.8,958,229653
258,-21.0,-20.8,886,230539
259,-21.0,-20.8,764,231303
260,-21.0,-20.8,811,232114
261,-20.0,-20.6,838,232952
262,-20.0,-20.6,870,233822
263,-21.0,-20.6,852,234674
264,-20.0,-20.4,947,235621
265,-21.0,-20.4,792,236413
266,-21.0,-20.6,885,237298
267,-19.0,-20.4,1038,238336
268,-21.0,-20.4,764,239100
269,-21.0,-20.6,1067,240167
270,-20.0,-20.4,1044,241211
271,-20.0,-20.2,843,242054
272,-20.0,-20.4,951,243005
273,-21.0,-20.4,885,243890
274,-21.0,-20.4,783,244673
275,-20.0,-20.4,866,245539
276,-21.0,-20.6,764,246303
277,-21.0,-20.8,764,247067
278,-21.0,-20.8,855,247922
279,-21.0,-20.8,764,248686
280,-20.0,-20.8,903,249589
281,-21.0,-20.8,880,250469
282,-21.0,-20.8,848,251317
283,-21.0,-20.8,820,252137
284,-21.0,-20.8,888,253025
285,-21.0,-21.0,826,253851
286,-21.0,-21.0,914,254765
287,-20.0,-20.8,900,255665
288,-21.0,-20.8,854,256519
289,-21.0,-20.8,884,257403
290,-20.0,-20.6,903,258306
291,-20.0,-20.4,866,259172
292,-21.0,-20.6,783,259955
293,-20.0,-20.4,870,260825
294,-21.0,-20.4,839,261664
295,-21.0,-20.6,764,262428
296,-21.0,-20.8,824,263252
297,-20.0,-20.6,955,264207
298,-21.0,-20.8,912,265119
299,-21.0,-20.8,764,265883
300,-21.0,-20.8,824,266707
